id,identifier,project_code,sales_reporting_name,date,calendar_year,calendar_month,column,raw_value,source
A3323500817225003_peak_consumption_kw,A3323500817225003,332350,Anaktuvuk Pass,2017-02-01,2017,2,peak_consumption_kw,1134,outlier_check
A3323500721225003_peak_consumption_kw,A3323500721225003,332350,Anaktuvuk Pass,2021-01-01,2021,1,peak_consumption_kw,1519,outlier_check
A3323500821225003_peak_consumption_kw,A3323500821225003,332350,Anaktuvuk Pass,2021-02-01,2021,2,peak_consumption_kw,1047,outlier_check
A3323500921225003_peak_consumption_kw,A3323500921225003,332350,Anaktuvuk Pass,2021-03-01,2021,3,peak_consumption_kw,1899,outlier_check
A3323501121225003_peak_consumption_kw,A3323501121225003,332350,Anaktuvuk Pass,2021-05-01,2021,5,peak_consumption_kw,1900,outlier_check
A3323500722225003_peak_consumption_kw,A3323500722225003,332350,Anaktuvuk Pass,2022-01-01,2022,1,peak_consumption_kw,1183,outlier_check
A3323501123225003_peak_consumption_kw,A3323501123225003,332350,Anaktuvuk Pass,2023-05-01,2023,5,peak_consumption_kw,4415,outlier_check
A3323500826225003_residential_sold_to,A3323500826225003,332350,Anaktuvuk Pass,2026-02-01,2026,2,residential_sold_to,136637,outlier_check
A3326500126225003_commercial_sold_to,A3326500126225003,332650,Angoon,2025-07-01,2025,7,commercial_sold_to,84044,outlier_check
A3326500226225003_commercial_sold_to,A3326500226225003,332650,Angoon,2025-08-01,2025,8,commercial_sold_to,92412,outlier_check
A3326500326225003_commercial_sold_to,A3326500326225003,332650,Angoon,2025-09-01,2025,9,commercial_sold_to,84646,outlier_check
A3326500726225003_residential_sold_to,A3326500726225003,332650,Angoon,2026-01-01,2026,1,residential_sold_to,101165,outlier_check
A3326500826225003_residential_customers,A3326500826225003,332650,Angoon,2026-02-01,2026,2,residential_customers,142,outlier_check
A3326500926225003_residential_customers,A3326500926225003,332650,Angoon,2026-03-01,2026,3,residential_customers,141,outlier_check
A3326501026225003_residential_customers,A3326501026225003,332650,Angoon,2026-04-01,2026,4,residential_customers,142,outlier_check
A3326500127225003_commercial_sold_to,A3326500127225003,332650,Angoon,2026-07-01,2026,7,commercial_sold_to,88260,outlier_check
A3326500227225003_commercial_sold_to,A3326500227225003,332650,Angoon,2026-08-01,2026,8,commercial_sold_to,90320,outlier_check
